FoodName;calories;proteins;lipids;carbohydrates;fiber;measure_amount;measure_type;food_group;measure_total_grams;meal_set
Abacate;32.00;0.40;2.80;2.00;2.05;1.00;Colher de sopa;Frutas;35.00;0&1&3&4&5
Abacaxi;48.00;0.90;0.10;12.30;1.00;1.00;Fatia Média;Frutas;100.00;0&1&3&4&5
Abóbora Cabotian;12.00;0.35;0.18;2.70;0.63;1.00;Colher de sopa;Verduras e Legumes;25.00;2&5
Abóbora Italiana;15.00;1.10;0.20;3.00;1.60;3.00;Colher de sopa;Verduras e Legumes;100.00;2&5
Aipim;125.00;0.60;0.30;30.40;1.60;1.00;Pedaço Médio;Tuberculos e derivados;100.00;2&5
Amaranto em flocos;73.20;2.70;6.00;1.00;1.50;1.00;Colher de sopa;Cereais, pães e massas;15.00;0&4
Ameixa;53.00;0.80;0.00;13.90;2.40;1.00;Unidade Média;Frutas;100.00;0&1&3&4
Ameixa Seca;10.00;0.10;0.02;2.50;0.71;1.00;Unidade;Frutas desidratadas;7.00;0&1&3&4
Amendoim;88.00;4.30;7.40;3.20;1.00;1.00;Colher de sopa;Oleaginosas e sementes;15.00;0&1&3&4
Amêndoa;5.90;0.21;0.54;0.10;0.12;1.00;Unidade;Oleaginosas e sementes;1.15;0&1&3&4
Arroz Branco;24.80;0.52;0.20;5.00;0.54;1.00;Colher de sopa;Cereais, pães e massas;20.00;2&5
Arroz integral;24.80;0.52;0.20;5.00;0.54;1.00;Colher de sopa;Cereais, pães e massas;20.00;2&5
Arroz parboilizado;24.80;0.52;0.20;5.00;0.54;1.00;Colher de sopa;Cereais, pães e massas;20.00;2&5
Atum em óleo;160.00;16.60;18.30;0.00;0.00;1.00;Porção;Proteína;100.00;2&5
Aveia em flocos;35.50;1.25;0.75;6.00;0.00;1.00;Colher de sopa;Cereais, pães e massas;15.00;0&1&3&4
Azeite de oliva;108.00;0.00;12.00;0.00;0.00;1.00;Colher de sopa;Gorduras (de adição);11.77;2&5
Azeitona Preta;8.08;0.05;1.30;0.20;0.20;1.00;Unidade;Gorduras;4.00;2&5
Azeitona Verde;5.48;0.04;1.22;0.16;0.15;1.00;Unidade;Gorduras;4.00;2&5
Açúcar;60.00;0.00;0.00;15.00;0.00;1.00;Colher de sopa;Açúcar;15.00;&
Açúcar de coco;60.00;0.00;0.00;15.00;0.00;1.00;Colher de chá;Açúcar;15.00;&
Açúcar demerara;60.00;0.00;0.00;15.00;0.00;1.00;Colher de chá;Açúcar;15.00;&
Açúcar mascavo;60.00;0.00;0.00;15.00;0.00;1.00;Colher de chá;Açúcar;15.00;&
Banana;77.00;1.20;0.10;20.30;2.00;1.00;Unidade Pequena;Frutas;100.00;0&1&2&3&4&5
Banana Desidratada;78.00;1.00;0.00;17.50;0.00;1.00;Unidade;Frutas desidratadas;25.00;0&1&2&3&4&5
Batata baroa;80.00;0.90;0.20;18.90;1.80;1.00;Unidade;Tuberculos e derivados;100.00;2&5
Batata doce;77.20;0.75;0.25;18.50;0.00;0.50;Unidade Pequena;Tuberculos e derivados;100.00;0&1&3&4
Batata inglesa;52.00;1.20;0.00;11.90;1.30;1.00;Unidade Grande;Tuberculos e derivados;100.00;2&5
Berinjela;19.00;0.70;0.10;4.50;2.50;4.00;Colher de sopa;Verduras e Legumes;100.00;2&5
Beterraba;100.00;1.40;0.20;8.00;4.00;6.00;Colher de sopa;Verduras e Legumes;100.00;2&5
Bolacha de Arroz Pequena;59.00;1.35;1.00;11.00;0.00;6.00;Unidade;Cereais, pães e massas;15.00;0&1&3&4
Brócolis;25.00;2.10;0.50;4.40;3.40;3.00;Ramos;Verduras e Legumes;100.00;2&5
CLEARPRO BAR - Nutrify;134.00;16.00;5.50;6.70;12.00;1.00;Unidade;Proteína;50.00;1&3&4
Camarão;90.00;19.00;1.00;0.00;0.00;1.00;Porção;Proteína;100.00;2&5
Caqui;71.00;0.40;0.10;19.30;0.00;1.00;Unidade Pequena;Frutas;100.00;0&1&3&4
Carne bovina - Músculo;194.00;31.20;6.70;0.00;0.00;1.00;Porção;Proteína;100.00;2&5
